BOULDER,,
1/1/2021,43,22
1/2/2021,52,17
1/3/2021,53,31
1/4/2021,59,30
1/5/2021,55,29
1/6/2021,45,18
1/7/2021,46,23
1/8/2021,45,21
1/9/2021,36,20
1/10/2021,35,23
1/11/2021,44,11
1/12/2021,54,18
1/13/2021,64,31
1/14/2021,56,28
1/15/2021,46,15
1/16/2021,52,29
1/17/2021,52,26
1/18/2021,46,29
1/19/2021,39,22
1/20/2021,59,18
1/21/2021,47,36
1/22/2021,45,19
1/23/2021,44,19
1/24/2021,38,23
1/25/2021,38,16
1/26/2021,28,18
1/27/2021,28,4
1/28/2021,45,14
1/29/2021,58,27
1/30/2021,54,30
1/31/2021,52,22
2/1/2021,50,25
2/2/2021,65,32
2/3/2021,65,37
2/4/2021,46,19
2/5/2021,45,25
2/6/2021,45,25
2/7/2021,54,23
2/8/2021,48,9
2/9/2021,31,9
2/10/2021,31,11
2/11/2021,27,13
2/12/2021,15,0
2/13/2021,7,-3
2/14/2021,4,-8
2/15/2021,21,-12
2/16/2021,42,2
2/17/2021,35,16
2/18/2021,34,15
2/19/2021,45,9
2/20/2021,50,21
2/21/2021,43,20
2/22/2021,56,32
2/23/2021,60,36
2/24/2021,54,20
2/25/2021,35,11
2/26/2021,45,13
2/27/2021,41,24
2/28/2021,39,11
3/1/2021,49,13
3/2/2021,62,24
3/3/2021,62,30
3/4/2021,48,30
3/5/2021,60,32
3/6/2021,67,27
3/7/2021,69,42
3/8/2021,68,35
3/9/2021,69,39
3/10/2021,60,32
3/11/2021,44,22
3/12/2021,42,32
3/13/2021,40,29
3/14/2021,32,29
3/15/2021,40,17
3/16/2021,40,21
3/17/2021,46,25
3/18/2021,46,20
3/19/2021,58,25
3/20/2021,64,32
3/21/2021,52,33
3/22/2021,40,29
3/23/2021,41,24
3/24/2021,40,26
3/25/2021,50,22
3/26/2021,49,32
3/27/2021,54,27
3/28/2021,63,26
3/29/2021,71,42
3/30/2021,62,25
3/31/2021,54,20
4/1/2021,71,23
4/2/2021,74,41
4/3/2021,78,39
4/4/2021,80,43
4/5/2021,77,46
4/6/2021,76,36
4/7/2021,63,30
4/8/2021,70,37
4/9/2021,67,35
4/10/2021,70,26
4/11/2021,65,40
4/12/2021,53,23
4/13/2021,39,26
4/14/2021,39,26
4/15/2021,39,31
4/16/2021,38,28
4/17/2021,44,25
4/18/2021,58,27
4/19/2021,54,26
4/20/2021,37,10
4/21/2021,35,26
4/22/2021,50,25
4/23/2021,57,29
4/24/2021,64,31
4/25/2021,79,39
4/26/2021,76,47
4/27/2021,69,41
4/28/2021,59,37
4/29/2021,69,36
4/30/2021,79,42
5/1/2021,84,51
5/2/2021,79,46
5/3/2021,54,36
5/4/2021,60,33
5/5/2021,60,38
5/6/2021,69,36
5/7/2021,82,43
5/8/2021,76,45
5/9/2021,61,37
5/10/2021,45,35
5/11/2021,42,33
5/12/2021,62,33
5/13/2021,75,35
5/14/2021,72,41
5/15/2021,67,43
5/16/2021,59,46
5/17/2021,63,50
5/18/2021,64,43
5/19/2021,71,42
5/20/2021,78,42
5/21/2021,76,49
5/22/2021,73,43
5/23/2021,75,51
5/24/2021,73,36
5/25/2021,76,46
5/26/2021,78,46
5/27/2021,77,45
5/28/2021,79,44
5/29/2021,71,45
5/30/2021,64,47
5/31/2021,57,46
6/1/2021,68,39
6/2/2021,74,44
6/3/2021,82,46
6/4/2021,87,50
6/5/2021,91,53
6/6/2021,88,59
6/7/2021,85,50
6/8/2021,88,51
6/9/2021,89,54
6/10/2021,91,53
6/11/2021,90,58
6/12/2021,86,46
6/13/2021,92,54
6/14/2021,94,57
6/15/2021,96,57
6/16/2021,99,62
6/17/2021,99,59
6/18/2021,91,65
6/19/2021,89,58
6/20/2021,81,64
6/21/2021,75,50
6/22/2021,93,48
6/23/2021,96,61
6/24/2021,85,63
6/25/2021,77,53
6/26/2021,69,53
6/27/2021,72,50
