CASTLE ROCK,,
1/1/2021,48,21
1/2/2021,43,20
1/3/2021,54,22
1/4/2021,57,27
1/5/2021,57,37
1/6/2021,59,21
1/7/2021,49,25
1/8/2021,52,21
1/9/2021,47,27
1/10/2021,34,19
1/11/2021,40,12
1/12/2021,51,15
1/13/2021,58,30
1/14/2021,65,33
1/15/2021,39,14
1/16/2021,48,29
1/17/2021,37,29
1/18/2021,52,34
1/19/2021,37,25
1/20/2021,53,27
1/21/2021,63,29
1/22/2021,53,30
1/23/2021,56,21
1/24/2021,57,20
1/25/2021,45,25
1/26/2021,40,21
1/27/2021,28,11
1/28/2021,55,26
1/29/2021,60,40
1/30/2021,64,35
1/31/2021,53,23
2/1/2021,55,29
2/2/2021,60,34
2/3/2021,68,44
2/4/2021,68,15
2/5/2021,41,23
2/6/2021,45,22
2/7/2021,53,27
2/8/2021,58,19
2/9/2021,55,19
2/10/2021,55,18
2/11/2021,50,16
2/12/2021,47,10
2/13/2021,21,4
2/14/2021,10,-3
2/15/2021,10,-3
2/16/2021,41,-5
2/17/2021,47,15
2/18/2021,47,13
2/19/2021,41,15
2/20/2021,52,27
2/21/2021,61,17
2/22/2021,48,27
2/23/2021,63,27
2/24/2021,65,25
2/25/2021,45,20
2/26/2021,49,19
2/27/2021,52,25
2/28/2021,37,17
3/1/2021,44,19
3/2/2021,54,28
3/3/2021,64,28
3/4/2021,66,40
3/5/2021,44,25
3/6/2021,56,35
3/7/2021,68,37
3/8/2021,70,42
3/9/2021,70,44
3/10/2021,71,35
3/11/2021,56,26
3/12/2021,48,34
3/13/2021,47,37
3/14/2021,40,31
3/15/2021,34,21
3/16/2021,52,22
3/17/2021,40,31
3/18/2021,42,21
3/19/2021,53,31
3/20/2021,62,40
3/21/2021,73,40
3/22/2021,47,32
3/23/2021,44,26
3/24/2021,M,31
3/25/2021,43,29
3/26/2021,54,36
3/27/2021,50,28
3/28/2021,53,32
3/29/2021,70,47
3/30/2021,75,28
3/31/2021,40,23
4/1/2021,57,33
4/2/2021,73,43
4/3/2021,75,41
4/4/2021,80,54
4/5/2021,80,41
4/6/2021,80,40
4/7/2021,57,34
4/8/2021,62,39
4/9/2021,72,37
4/10/2021,52,31
4/11/2021,70,39
4/12/2021,60,29
4/13/2021,48,35
4/14/2021,53,34
4/15/2021,53,35
4/16/2021,51,28
4/17/2021,53,30
4/18/2021,45,27
4/19/2021,58,35
4/20/2021,39,16
4/21/2021,36,26
4/22/2021,42,28
4/23/2021,55,38
4/24/2021,65,35
4/25/2021,71,41
4/26/2021,83,55
4/27/2021,81,42
4/28/2021,58,37
4/29/2021,57,34
4/30/2021,71,46
5/1/2021,81,50
5/2/2021,87,51
5/3/2021,70,38
5/4/2021,47,38
5/5/2021,62,42
5/6/2021,61,41
5/7/2021,76,45
5/8/2021,84,57
5/9/2021,79,40
5/10/2021,51,40
5/11/2021,50,36
5/12/2021,53,37
5/13/2021,66,46
5/14/2021,75,43
5/15/2021,78,46
5/16/2021,74,49
5/17/2021,61,52
5/18/2021,69,49
5/19/2021,65,44
5/20/2021,75,54
5/21/2021,85,62
5/22/2021,84,51
5/23/2021,70,43
5/24/2021,76,41
5/25/2021,79,50
5/26/2021,77,59
5/27/2021,83,43
5/28/2021,77,50
5/29/2021,83,53
5/30/2021,78,58
5/31/2021,63,49
6/1/2021,62,43
6/2/2021,72,43
6/3/2021,76,56
6/4/2021,82,56
6/5/2021,86,59
6/6/2021,93,58
6/7/2021,88,60
6/8/2021,90,57
6/9/2021,93,55
6/10/2021,84,53
6/11/2021,97,64
6/12/2021,82,62
6/13/2021,92,64
6/14/2021,94,67
6/15/2021,99,66
6/16/2021,101,66
6/17/2021,99,68
6/18/2021,100,66
6/19/2021,89,65
6/20/2021,92,59
6/21/2021,87,54
6/22/2021,79,57
6/23/2021,95,63
6/24/2021,98,64
6/25/2021,87,56
6/26/2021,83,57
6/27/2021,72,58
6/28/2021,76,55
6/29/2021,75,53
6/30/2021,79,60
7/1/2021,84,64
7/2/2021,81,60
7/3/2021,87,61
7/4/2021,94,63
7/5/2021,92,62
7/6/2021,91,64
7/7/2021,84,60
7/8/2021,89,69
7/9/2021,98,69
7/10/2021,99,65
7/11/2021,85,59
7/12/2021,87,64
7/13/2021,85,65
7/14/2021,77,60
7/15/2021,88,55
7/16/2021,92,63
7/17/2021,93,65
7/18/2021,95,61
7/19/2021,93,62
7/20/2021,95,65
7/21/2021,95,65
7/22/2021,83,65
7/23/2021,95,66
7/24/2021,96,64
7/25/2021,85,63
7/26/2021,94,61
7/27/2021,94,64
7/28/2021,97,70
7/29/2021,99,69
7/30/2021,94,67
7/31/2021,94,66
8/1/2021,79,64
8/2/2021,82,61
8/3/2021,90,62
8/4/2021,78,60
8/5/2021,86,58
8/6/2021,92,58
8/7/2021,97,60
8/8/2021,84,57
8/9/2021,94,62
8/10/2021,97,60
8/11/2021,96,60
8/12/2021,97,62
8/13/2021,90,62
8/14/2021,93,66
8/15/2021,96,64
8/16/2021,92,57
8/17/2021,93,63
8/18/2021,89,68
8/19/2021,99,68
8/20/2021,85,59
8/21/2021,84,62
8/22/2021,83,63
8/23/2021,94,60
8/24/2021,96,59
8/25/2021,95,65
8/26/2021,92,64
8/27/2021,90,58
8/28/2021,97,60
8/29/2021,97,64
8/30/2021,85,60
8/31/2021,96,61
9/1/2021,97,68
9/2/2021,94,60
9/3/2021,86,64
9/4/2021,88,55
9/5/2021,88,54
9/6/2021,89,57
9/7/2021,95,55
9/8/2021,89,59
9/9/2021,91,54
9/10/2021,96,69
9/11/2021,99,56
9/12/2021,101,59
9/13/2021,90,63
9/14/2021,87,57
9/15/2021,90,53
9/16/2021,94,62
9/17/2021,96,51
9/18/2021,76,53
9/19/2021,97,67
9/20/2021,91,55
9/21/2021,70,43
9/22/2021,78,44
9/23/2021,83,46
9/24/2021,85,48
9/25/2021,80,54
9/26/2021,90,50
9/27/2021,91,55
9/28/2021,91,60
9/29/2021,83,50
9/30/2021,73,52
10/1/2021,58,47
10/2/2021,70,50
10/3/2021,72,46
10/4/2021,79,45
10/5/2021,83,55
10/6/2021,84,53
10/7/2021,83,48
10/8/2021,80,50
10/9/2021,82,54
